architecture,width,lane,arm,bytes,model_us,measured_us,error_pct
a100,2,legacy,auto,1720320,48.024030482596366,62.56639957,-23.243097233257714
a100,2,legacy,auto,1736704,48.342122154420274,62.51519918,-22.671409851500577
a100,2,legacy,auto,1753088,48.65979081977372,63.02719563,-22.795564147530644
a100,2,legacy,auto,1769472,48.977040986777496,63.02719563,-22.292209740226554
a100,2,legacy,auto,1785856,49.293877074235674,63.23199719,-22.042827579655523
a100,2,legacy,auto,1802240,49.610303414207515,63.74400109,-22.172592611243758
a100,2,legacy,auto,1818624,49.92632425448312,63.38559836,-21.233962372769
a100,2,legacy,auto,1835008,50.241943760966855,64.15359676,-21.684915112518077
a100,2,legacy,auto,1851392,50.55716601997243,64.25599754,-21.319148475595462
a100,2,legacy,auto,1867776,50.871995040433966,64.40959871,-21.017991014845794
a100,2,legacy,auto,1884160,51.18643475603645,64.76800144,-20.969562719246937
a100,2,legacy,auto,1900544,51.500489027270845,64.87040222,-20.610190063854915
a100,2,legacy,auto,1916928,51.81416164341388,64.76800144,-20.00036979462203
a100,2,legacy,auto,1933312,52.12745632443976,65.02400339,-19.83351746002091
a100,2,legacy,auto,1949696,52.440376722863,65.38239866,-19.794351694617085
a100,2,legacy,auto,1966080,52.752926425519185,65.28000534,-19.18976392424544
a100,2,legacy,auto,1982464,53.06510895528193,65.02400339,-18.391507460700616
a100,2,legacy,auto,1998848,53.37692777272356,66.50879979,-19.744563213800305
a100,2,legacy,auto,2015232,53.68838627771766,65.689601,-18.269580785370177
a100,2,legacy,auto,2031616,53.99948781098813,65.89440256,-18.051479772020073
a100,2,legacy,auto,2048000,54.31023565560728,66.09920412,-17.835265373226584
a100,2,legacy,auto,2064384,54.6206330384437,65.58720022,-16.72059051883752
a100,2,legacy,auto,2080768,54.930683131561985,66.40639901,-17.281039251518383
a100,2,legacy,auto,2097152,55.24038905357823,66.40639901,-16.814659615469154
a100,2,legacy,auto,2113536,55.5497538709708,71.37279958,-22.169574126475943
a100,2,legacy,auto,2129920,55.858780599348805,71.93599641,-22.34933359234913
a100,2,legacy,auto,2146304,56.16747220468085,71.67999446,-21.641355265416063
a100,2,legacy,auto,2162688,56.47583160448504,71.52640074,-21.04197747937031
a100,2,legacy,auto,2179072,56.78386166898038,72.90880382,-22.116591284132824
a100,2,legacy,auto,2195456,57.09156522220467,71.88479602,-20.579081553878943
a100,2,legacy,auto,2211840,57.39894504309497,71.73119485,-19.980497797193774
a100,2,legacy,auto,2228224,57.70600386653787,73.31839949,-21.293966769680416
a100,2,legacy,auto,2244608,58.01274438438497,73.06240499,-20.598364655084744
a100,2,legacy,auto,2260992,58.31916924644047,73.98399711,-21.173265132281173
a100,2,legacy,auto,2277376,58.62528106141689,73.36959988,-20.095950969745303
a100,2,legacy,auto,2293760,58.93108239786335,73.62560183,-19.958437101901026
a100,2,legacy,auto,2310144,59.23657578506634,74.08639789,-20.043925103474425
a100,2,legacy,auto,2326528,59.541763713924155,73.72800261,-19.241317266001346
a100,2,legacy,auto,2342912,59.8466486377953,74.18879867,-19.331961548535347
a100,2,legacy,auto,2359296,60.151232973322806,75.2639994,-20.079674940416727
a100,2,legacy,auto,2375680,60.45551910123494,74.39360023,-18.7355916176569
a100,2,legacy,auto,2392064,60.759509367122526,73.98399711,-17.874794900869173
a100,2,legacy,auto,2408448,61.06320608219504,75.2639994,-18.86797596595028
a100,2,legacy,auto,2424832,61.3666115240139,74.0351975,-17.111571797976353
a100,2,legacy,auto,2441216,61.66972793720766,74.64960217,-17.38773396706548
a100,2,legacy,auto,2457600,61.972557534164885,74.95679706,-17.32229769028383
a100,2,legacy,auto,2473984,62.27510249570976,75.16159862,-17.145053273070264
a100,2,legacy,auto,2490368,62.57736497175747,75.87839663,-17.52940527077994
a100,2,legacy,auto,2506752,62.87934708195327,75.62239468,-16.850891395293132
a100,2,legacy,auto,2523136,63.181050916293955,75.46880096,-16.281893825527717
a100,2,legacy,auto,2539520,63.48247853573165,75.92959702,-16.392973191981717
a100,2,legacy,auto,2555904,63.783631972762244,75.72479546,-15.769159117168453
a100,2,legacy,auto,2572288,64.08451323199844,76.64640248,-16.38940490557198
a100,2,legacy,auto,2588672,64.38512429072729,76.85120404,-16.22105978038325
a100,2,legacy,auto,2605056,64.68546709945296,77.0560056,-16.053957643175632
a100,2,legacy,auto,2621440,64.98554358242606,76.74880326,-15.326961695707286
a100,2,legacy,auto,2637824,65.28535563815795,76.59520209,-14.765737465582873
a100,2,legacy,auto,2654208,65.58490513992373,76.44160092,-14.202601266080684
a100,2,legacy,auto,2670592,65.8841939362511,76.64640248,-14.041374670594864
