architecture,lane,width,bytes,warm,timed,persistent,rotate,median_us,q1_us,q3_us
a100,event,4,1048576,5,100,0,0,31.4982390404,31.4470410347,31.6723203659
a100,event,4,1048576,5,100,0,1,32.7679991722,32.7679991722,32.849919796
a100,event,4,1048576,5,100,1,0,31.5084791183,31.4982390404,31.5187191963
a100,event,4,1048576,5,100,1,1,32.839679718,32.7782392502,32.8703999519
a100,event,4,1048576,20,20,0,0,31.9487988949,31.9487988949,32.1536004543
a100,event,4,1048576,20,20,0,1,33.2287997007,33.2287997007,33.2287997007
a100,event,4,1048576,20,20,1,0,31.9487988949,31.8976014853,32.0511996746
a100,event,4,1048576,20,20,1,1,33.2800000906,33.2287997007,33.3824008703
a100,event,4,1048576,20,100,0,0,31.7337608337,31.65184021,31.7337608337
a100,event,4,1048576,20,100,0,1,33.0956792831,33.0751991272,33.157119751
a100,event,4,1048576,20,100,1,0,31.7132806778,31.5903997421,31.8054389954
a100,event,4,1048576,20,100,1,1,32.9625606537,32.9625606537,32.9932808876
a100,event,4,1310720,5,20,0,0,37.1199995279,37.0687991381,37.2224003077
a100,event,4,1310720,5,20,0,1,38.2975995541,38.1951987743,38.2975995541
a100,event,4,1310720,5,20,1,0,37.1199995279,37.0687991381,37.1711999178
a100,event,4,1310720,5,20,1,1,38.2463991642,38.1951987743,38.2975995541
a100,event,4,1310720,5,100,0,0,36.8435192108,36.8230390549,37.1199989319
a100,event,4,1310720,5,100,0,1,38.3795189857,38.3590388298,38.3795189857
a100,event,4,1310720,5,100,1,0,36.9254398346,36.9049596786,36.9766402245
a100,event,4,1310720,5,100,1,1,38.2566404343,38.2566404343,38.3999991417
a100,event,4,1310720,20,20,0,0,37.7855986357,37.6320004463,37.8879994154
a100,event,4,1310720,20,20,0,1,38.7584000826,38.7071996927,38.7584000826
a100,event,4,1310720,20,20,1,0,37.5295996666,37.5295996666,37.5808000565
a100,event,4,1310720,20,20,1,1,38.7584000826,38.7071996927,38.8096004725
a100,event,4,1310720,20,100,0,0,37.6320004463,37.6217603683,37.6524806023
a100,event,4,1310720,20,100,0,1,38.7583994865,38.6150407791,38.7993597984
