architecture,width,bytes,control,baseline_us,reference_us,controlled_us,baseline_gap_us,controlled_gap_us,effect_us,twice_pooled_iqr_us,qualifies,diagnostic_tiny
gh200,4,524288,joint,14.0128001571,13.67127,15.1276803017,0.34153015709999934,1.4564103017,1.1148801446000007,0.2796300570404016,False,False
gh200,4,786432,warmup_only,14.6751999855,14.45076,14.6768003702,0.2244399855000001,0.22604037019999978,0.0016003846999996796,0.5826624420516185,False,False
gh200,4,786432,iterations_only,14.6751999855,14.45076,14.395840168,0.2244399855000001,0.05491983200000128,0.2793598175000014,0.3058069636403863,False,False
gh200,4,786432,workers_only,14.6751999855,14.45076,14.7376000881,0.2244399855000001,0.28684008809999995,0.06240010259999984,0.34396700806632613,False,False
gh200,4,786432,rotation_only,14.6751999855,14.45076,15.4016003013,0.2244399855000001,0.9508403012999995,0.7264003157999994,0.30467345168135346,False,False
gh200,4,786432,joint,14.6751999855,14.45076,15.7142400742,0.2244399855000001,1.2634800741999985,1.0390400886999984,0.26420894363341857,False,False
gh200,4,1048576,warmup_only,17.0735999942,16.89037,17.2527998686,0.18322999419999775,0.3624298685999996,0.17919987440000185,0.6118088334789603,False,False
gh200,4,1048576,iterations_only,17.0735999942,16.89037,16.7478394508,0.18322999419999775,0.14253054919999997,0.3257605433999977,0.2571569869006964,False,False
gh200,4,1048576,workers_only,17.0735999942,16.89037,17.1279996634,0.18322999419999775,0.2376296633999999,0.054399669200002165,0.3507323024142184,False,False
gh200,4,1048576,rotation_only,17.0735999942,16.89037,18.2815998793,0.18322999419999775,1.391229879299999,1.2079998851000013,0.6649375231362935,False,False
gh200,4,1048576,joint,17.0735999942,16.89037,19.3715202808,0.18322999419999775,2.481150280799998,2.2979202866,0.37466271768987763,False,False
gh200,4,1310720,warmup_only,20.0415998697,20.02756,19.7344005108,0.014039869699999485,0.2931594892000007,0.30719935890000016,1.0109671328908927,False,False
gh200,4,1310720,iterations_only,20.0415998697,20.02756,19.4687998295,0.014039869699999485,0.5587601705000012,0.5728000402000006,0.9854846148253257,False,False
gh200,4,1310720,workers_only,20.0415998697,20.02756,19.9504002929,0.014039869699999485,0.07715970710000164,0.09119957680000113,1.0626754431464878,False,False
gh200,4,1310720,rotation_only,20.0415998697,20.02756,22.0208004117,0.014039869699999485,1.9932404117000004,1.979200542000001,1.0565678475666078,False,False
gh200,4,1310720,joint,20.0415998697,20.02756,22.8070402145,0.014039869699999485,2.7794802144999977,2.7654403447999982,0.9533176680665257,False,False
gh200,4,1572864,warmup_only,20.659199357,20.39778,20.4319998622,0.26141935699999763,0.034219862200000506,0.22719949479999713,0.554892601245656,False,False
gh200,4,1572864,iterations_only,20.659199357,20.39778,20.2351999283,0.26141935699999763,0.16258007170000255,0.4239994287000002,0.3401741056488314,False,False
gh200,4,1572864,workers_only,20.659199357,20.39778,20.7151994109,0.26141935699999763,0.3174194108999977,0.05600005390000007,0.34396678640795997,False,False
gh200,4,1572864,rotation_only,20.659199357,20.39778,23.1600001454,0.26141935699999763,2.7622201454000006,2.500800788400003,0.7771839794898869,False,False
gh200,4,1572864,joint,20.659199357,20.39778,23.5888004303,0.26141935699999763,3.1910204303,2.9296010733000024,0.33932158254758554,False,False
gh200,4,2097152,warmup_only,26.6175985336,26.01234,26.1151999235,0.6052585336000007,0.10285992350000228,0.5023986100999984,1.4336042448843265,False,False
gh200,4,2097152,iterations_only,26.6175985336,26.01234,25.8614397049,0.6052585336000007,0.1509002950999978,0.7561588286999985,1.4594211560316381,False,False
gh200,4,2097152,workers_only,26.6175985336,26.01234,26.1967986822,0.6052585336000007,0.1844586822000025,0.4207998513999982,1.4405000010269902,False,False
